Episode: 1, Step: 1, State: (0, 1, 2, 14, 1, 7), Action: 0, Reward: 0.0762
Episode: 2, Step: 1, State: (0, 3, 2, 10, 13, 10), Action: 6, Reward: 0.9824
Episode: 3, Step: 1, State: (4, 3, 3, 11, 5, 4), Action: 0, Reward: 0.9375
Episode: 4, Step: 1, State: (4, 1, 4, 2, 3, 6), Action: 10, Reward: 0.4863
Episode: 5, Step: 1, State: (2, 2, 2, 2, 5, 6), Action: 1, Reward: 0.4688
Episode: 6, Step: 1, State: (0, 2, 0, 8, 4, 4), Action: 4, Reward: 0.5391
Episode: 7, Step: 1, State: (4, 2, 4, 4, 10, 1), Action: 2, Reward: 0.7891
Episode: 8, Step: 1, State: (2, 0, 0, 9, 5, 8), Action: 10, Reward: 0.7598
Episode: 9, Step: 1, State: (4, 0, 1, 4, 8, 3), Action: 11, Reward: 0.3125
Episode: 10, Step: 1, State: (1, 0, 1, 9, 5, 10), Action: 4, Reward: 0.8594
Episode: 11, Step: 1, State: (3, 1, 0, 2, 2, 5), Action: 6, Reward: 0.1016
Episode: 12, Step: 1, State: (0, 4, 1, 3, 5, 12), Action: 3, Reward: 0.3535
Episode: 13, Step: 1, State: (1, 4, 2, 13, 2, 10), Action: 4, Reward: 0.8594
Episode: 14, Step: 1, State: (1, 4, 0, 3, 9, 7), Action: 4, Reward: 0.9238
Episode: 15, Step: 1, State: (3, 4, 2, 3, 9, 1), Action: 8, Reward: 0.3496
Episode: 16, Step: 1, State: (2, 4, 1, 4, 4, 2), Action: 11, Reward: 0.1992
Episode: 17, Step: 1, State: (2, 3, 0, 4, 14, 4), Action: 9, Reward: 0.6719
Episode: 18, Step: 1, State: (0, 4, 0, 8, 2, 6), Action: 0, Reward: 0.6797
Episode: 19, Step: 1, State: (4, 2, 3, 14, 6, 11), Action: 0, Reward: 0.9258
Episode: 20, Step: 1, State: (4, 2, 3, 6, 5, 9), Action: 4, Reward: 0.8945
